poi_id,name,year,profession,confidence,_si_clue
abbott_street_cemetery,Abbott Street Cemetery,,weathered sexton (gravedigger),0.85,lma_name='cemetery'
alice_parker_home,Alice Parker Home Site,1692,1690s puritan colonial wronged accused witch (gallows-bound),0.7,lma_desc='alice parker'
armory_park,Armory Park,,militia officer with musket,0.85,lma_name='armory'
bewitched_sculpture_samantha_statue,Bewitched Sculpture – Samantha Statue,1960,Hollywood TV witch in cocktail dress,0.85,lma_name='samantha statue'
blue_anchor_tavern,Blue Anchor Tavern Site,1692,1690s puritan colonial tavern-keeper,0.85,lma_name='tavern'
broad_street_cemetery,Broad Street Cemetery,1655,1690s puritan colonial weathered sexton (gravedigger),0.85,lma_name='cemetery'
castle_dismal,Castle Dismal (Manning House),1800,Federal-era brooding novelist with quill,0.7,lma_desc='nathaniel hawthorne'
central_wharf,Central Wharf,1790,Federal-era merchant sea-captain,0.85,lma_name='wharf'
charlotte_forten_park,Charlotte Forten Park,1837,antebellum Victorian schoolteacher abolitionist,0.85,lma_name='charlotte forten'
charter_street_cemetery,Charter Street Cemetery,1637,1690s puritan colonial weathered sexton (gravedigger),0.85,lma_name='cemetery'
chestnut_street,Chestnut Street Historic District,,master woodcarver,0.7,lma_desc='samuel mcintire'
custom_house,Custom House,1815,Federal-era customs officer with ledger,0.85,lma_name='custom house'
derby_beebee_summer_house_8490e9,Derby-Beebee Summer House,,master woodcarver,0.7,lma_desc='samuel mcintire'
derby_powderhouse_wharf,Derby Powderhouse Wharf,,powder-house keeper,0.85,lma_name='powderhouse'
derby_wharf,Derby Wharf,1762,early 18th-century colonial merchant sea-captain,0.85,lma_name='wharf'
derby_wharf_light_station_2,Derby Wharf Light Station,1871,late-Victorian lighthouse keeper,0.85,lma_name='light station'
first_church_1692_site,First Church Meetinghouse 1692 Site,1692,1690s puritan colonial puritan minister,0.85,lma_name='meetinghouse'
fort_lee,Fort Lee,1776,early 18th-century colonial fort gunner with cannon,0.85,lma_name='fort '
fort_pickering,Fort Pickering,1863,antebellum Victorian fort gunner with cannon,0.85,lma_name='fort '
friends_burial_ground_quaker_cemetary,Friends Burial Ground Quaker Cemetary,,weathered sexton (gravedigger),0.85,lma_name='burial ground'
friendship_of_salem,Friendship of Salem,1797,Federal-era merchant sea-captain,0.7,lma_desc='friendship of salem'
gardner_pingree_house,Gardner-Pingree House,1800,Federal-era brooding novelist with quill,0.7,lma_desc='nathaniel hawthorne'
gedney_house,Gedney House,1665,1690s puritan colonial witch-trial magistrate,0.7,bartholomew gedney presided over the salem witch trials.
greenlawn_cemetery,Greenlawn Cemetery,,weathered sexton (gravedigger),0.85,lma_name='cemetery'
harmony_grove_cemetery,Harmony Grove Cemetery,,weathered sexton (gravedigger),0.85,lma_name='cemetery'
hathaway_house,Hathaway House,1668,1690s puritan colonial brooding novelist with quill,0.7,lma_desc='nathaniel hawthorne'
hawkes_house,Hawkes House,1801,Federal-era master woodcarver,0.7,lma_desc='samuel mcintire'
hawthorne_statue,Nathaniel Hawthorne Statue,1925,early-20th-century brooding novelist with quill,0.85,lma_name='hawthorne'
hb_17a0faa50744,East Church,,puritan minister,0.85,original_use=church
hb_6603e8b176ed,Lye - Tapley Shoe Shop,,cordwainer (shoemaker),0.85,lma_name='shoe shop'
historic_central_wharf_2,Historic Central Wharf,,merchant sea-captain,0.85,lma_name='wharf'
historic_derby_wharf,Historic Derby Wharf,1791,Federal-era merchant sea-captain,0.85,lma_name='wharf'
howard_street_cemetery,Howard Street Cemetery,1692,1690s puritan colonial weathered sexton (gravedigger),0.85,lma_name='cemetery'
joshua_ward_house,Joshua Ward House,1784,Federal-era master woodcarver,0.7,lma_desc='samuel mcintire'
mcintire_historic_district,McIntire Historic District,1780,Federal-era master woodcarver,0.85,lma_name='mcintire'
monumental_cemetery,Monumental Cemetery,,weathered sexton (gravedigger),0.85,lma_name='cemetery'
narbonne_house,Narbonne House,1675,1690s puritan colonial witch-trial magistrate,0.95,the narbonne house is considered a witness to the 1692 witch trials.
nathaniel_bowditch_house,Nathaniel Bowditch House,1802,Federal-era navigator with sextant and almanac,0.85,lma_name='bowditch'
nathaniel_hawthornes_birthplace,Nathaniel Hawthorne's Birthplace,1804,Federal-era brooding novelist with quill,0.85,lma_name='hawthorne'
