id,name,long_narration
"aoh","AOH","The Ancient Order of Hibernians (AOH) in Salem has been a fixture of the city’s Irish-American community since 1883. Founded as a fraternal organization dedicated to preserving Irish heritage and fostering a sense of community, the Salem chapter quickly became a vital social and cultural center for the city’s growing Irish immigrant population.\n\nLocated at 104 Boston Street, the AOH building has hosted countless gatherings, celebrations, and events over the decades, from traditional Irish music sessions and dances to community meetings and charitable fundraisers. The organization has played an active role in Salem’s civic life, advocating for the needs of its members and contributing to the city’s cultural landscape.\n\nToday, the Salem AOH continues to thrive as a vibrant event venue and bar, welcoming both members and visitors alike. It remains a testament to the enduring legacy of Irish culture in Salem and a gathering place for those seeking connection, camaraderie, and a taste of Irish hospitality."
"bates_elementary_school","Bates Elementary School","Bates Elementary School is a cornerstone of the Salem community, dedicated to nurturing young minds through a holistic approach to education. The school strives to create a safe, friendly, and child-centered environment where students can explore their creative potential and develop strong social-emotional skills. Bates Elementary School is committed to providing authentic learning experiences and building strong relationships with its students, fostering a love of learning that extends beyond the classroom. The school places a strong emphasis on literacy and the arts, believing these disciplines are essential for well-rounded development. With an estimated enrollment of 412 students as of 2025-2026, Bates continues to be a vital part of Salem’s educational landscape."
"bentley_academy_charter_school","Bentley Academy Charter School","You're near Bentley Academy Charter School, part of Salem's educational community."
"bishop_fenwick_high_school","Bishop Fenwick High School","Bishop Fenwick High School opened its doors in 1959, founded by Richard Cardinal Cushing as a Catholic college preparatory institution. From the beginning, the school was staffed by the sisters of Notre Dame de Namur, bringing a strong tradition of faith-based education to the North Shore. The school’s guiding principles are embodied in the acronym F.I.R.S.T. – Faith, Integrity, Relationship, Scholarship, and Tradition – which shape the curriculum, extracurricular activities, and overall student experience.\n\nBishop Fenwick emphasizes a holistic approach to education, fostering not only academic excellence but also spiritual and personal growth. The school offers a range of programs in athletics, arts, and community involvement, providing students with opportunities to develop their talents and contribute to the wider community. Today, Bishop Fenwick continues to prepare students for success in college and beyond, upholding its founding principles and commitment to a well-rounded education."
"carlton_school","Carlton School","You're near Carlton School, part of Salem's educational community."
"city_of_salem","City of Salem","The City of Salem, founded in 1626, provides a wide range of municipal services to its residents and visitors. The city's website, Salem.com, is a central point of access for information on everything from applying for permits and reporting issues to participating in local government through Boards and Commissions. Salem continues to balance its rich history with the needs of a modern community."
"collins_middle_school","Collins Middle School","You're near Collins Middle School, part of Salem's educational community."
"endicott_school","Endicott School","You're near Endicott School, part of Salem's educational community."
"espacio_el_punto","Espacio El Punto","You're near Espacio El Punto, a community space serving Salem's Latino neighborhood in the Point area."
"essex_county_court_buildings","Essex County Court Buildings","You're near the Essex County Court Buildings, part of Salem's judicial district. Salem has been a seat of justice in Essex County since colonial times."
