id,name,category,subcategory,merchant_tier,description,short_narration,long_narration,historical_note,historical_narration,custom_description,updated_at
5_brothers_garage,5 Brothers Garage,AUTO_SERVICES,,0,"Located at 75 Canal Street, 5 Brothers Garage is a family-owned and operated auto body and mechanic shop serving Salem and the surrounding communities. They specialize in a wide range of services, from collision repair and dent removal to painting and general mechanical work. Prioritizing customer satisfaction and quality, 5 Brothers Garage is committed to keeping your vehicle running smoothly.","5 Brothers Garage is a family-owned auto body and mechanic shop in Salem, dedicated to quality workmanship and customer satisfaction since its founding.","5 Brothers Garage is a family-owned auto body and mechanic shop located at 75 Canal Street in Salem, Massachusetts. Dedicated to providing top-notch repair services, they offer a comprehensive range of solutions, including collision repair, dent removal, painting, and general mechanical work. The business prioritizes quality workmanship and strives to ensure complete customer satisfaction, making them a trusted choice for vehicle maintenance and repair in the Salem area.","Located at 75 Canal Street, 5 Brothers Garage is a family-owned and operated auto body and mechanic shop serving Salem and the surrounding areas. They specialize in a wide range of services, including dent repair, painting, collision restoration, and general mechanical work. Dedicated to quality and customer satisfaction, 5 Brothers Garage provides reliable repairs and maintenance for all your vehicle needs.",,,2026-04-21 16:43:53.507745-04
a_plus_auto_and_truck_repair,A Plus Auto & Truck Repair,AUTO_SERVICES,,0,"A Plus Auto & Truck Repair, located at 19 Hersey Street, is a full-service auto repair shop offering everything from tire sales and installation to comprehensive mechanical work on cars and trucks. Open six days a week, they provide convenient and reliable service to Salem residents and visitors alike. With wheelchair accessible parking and entrance, A Plus Auto & Truck Repair strives to be an inclusive and accessible service provider.","A Plus Auto & Truck Repair on Hersey Street provides comprehensive auto care, from tires to full mechanical service, and has been a Salem fixture for years.","A Plus Auto & Truck Repair is a full-service automotive center located at 19 Hersey Street in Salem, Massachusetts. Offering a wide range of services including tire sales, mechanical repairs, and truck maintenance, they cater to both local residents and those passing through. The shop is committed to providing reliable and accessible service, with features like wheelchair accessible parking and entrance. A Plus Auto & Truck Repair is open six days a week, making it a convenient choice for all your vehicle needs.","Located at 19 Hersey Street in Salem, A Plus Auto & Truck Repair provides a full range of automotive services, from routine maintenance like oil changes and tire rotations to more complex repairs for cars and trucks.  With convenient hours and a commitment to customer satisfaction, they've become a trusted neighborhood resource for keeping vehicles running smoothly. They offer wheelchair accessible parking and entrance.",,,2026-04-21 16:43:53.507745-04
auto_haus_auto_repair_and_restoration,Auto Haus - Auto Repair & Restoration,AUTO_SERVICES,,0,"Auto Haus - Auto Repair & Restoration, located at 17 Franklin Street, is a full-service auto repair shop specializing in both routine maintenance and detailed restoration work. Open Monday through Friday from 8:00 AM to 5:00 PM, Auto Haus has earned a 4.7-star rating from over 40 customers, demonstrating their commitment to quality service in Salem.","Auto Haus on Franklin Street provides expert auto repair and restoration services, maintaining a high rating from its customers.","Auto Haus - Auto Repair & Restoration, located at 17 Franklin Street in Salem, is a trusted provider of comprehensive automotive services. They offer everything from routine maintenance and inspections to specialized restoration work, serving the Salem community with a commitment to quality and customer satisfaction. With convenient hours Monday through Friday, Auto Haus is equipped to handle a wide range of vehicle needs.","Located at 17 Franklin Street, Auto Haus - Auto Repair & Restoration offers comprehensive car repair and restoration services. With a 4.7-star rating and consistently open from 8 AM to 5 PM, Monday through Friday, they are a trusted local resource for vehicle maintenance. Auto Haus also provides wheelchair accessible parking for customer convenience.",,,2026-04-21 16:43:53.507745-04
b_and_j_auto_collision,B AND J AUTO COLLISION,AUTO_SERVICES,,0,"Located at 36 Bridge Street, B and J Auto Collision offers comprehensive car repair and maintenance services. Open daily from 8:00 AM to 6:00 PM, they provide a convenient and reliable option for Salem residents and visitors. The business is committed to accessibility, offering both wheelchair accessible parking and entrance. As of 2024, B and J Auto Collision maintains a 5-star rating with 59 user reviews.","B and J Auto Collision has been providing car repair and maintenance services on Bridge Street in Salem since at least 2016, and is currently open with wheelchair accessible parking and entrance.","B and J Auto Collision is a full-service car repair and maintenance shop located at 36 Bridge Street in Salem, Massachusetts. Open seven days a week, they provide a range of automotive services to the local community and visitors. The business prioritizes accessibility with wheelchair-accessible parking and entrance. Established at least as of 2016, B and J Auto Collision has earned a strong reputation, as evidenced by its 5-star rating and numerous positive customer reviews.","Located at 36 Bridge Street, B and J Auto Collision provides a full range of auto repair and maintenance services to the Salem community. Open daily from 8:00 AM to 6:00 PM, they offer convenient hours and are equipped to handle a variety of vehicle needs. With wheelchair accessible parking and entrance, B and J Auto Collision strives to provide accessible service to all customers.",,,2026-04-21 16:43:53.507745-04
bergerons_automotive,Bergeron's Automotive,AUTO_SERVICES,,0,"Bergeron's Automotive, located at 6 Tulip Street in Salem, is a trusted car repair and maintenance service. Open Monday through Friday from 10:00 AM to 4:00 PM, Bergeron's offers a full range of automotive services and boasts a 5-star rating, reflecting their commitment to quality and customer satisfaction. They also offer wheelchair accessible parking.","Bergeron's Automotive on Tulip Street provides car repair and maintenance services, earning a 5-star rating from its customers.","Bergeron's Automotive is a car repair and maintenance service located at 6 Tulip Street in Salem, Massachusetts. Offering a full range of automotive services, they are open Monday through Friday from 10:00 AM to 4:00 PM.  With a 5-star rating and wheelchair accessible parking, Bergeron's Automotive is dedicated to providing reliable service and customer satisfaction.","Bergeron's Automotive, located at 6 Tulip Street in Salem, is a trusted car repair and maintenance service. Open Monday through Friday from 10:00 AM to 4:00 PM, they offer a full range of automotive services and boast a perfect 5-star rating. Bergeron's also provides wheelchair accessible parking for customer convenience.",,,2026-04-21 16:43:53.507745-04
bills_auto_clinic,Bill's Auto Clinic,AUTO_SERVICES,,0,"Bill's Auto Clinic is a full-service car repair shop located at 2 Commercial Street in Salem. Offering a range of automotive services, they've been a fixture in the community, providing reliable repairs and maintenance. Open Monday through Friday from 8:00 AM to 4:30 PM, Bill's Auto Clinic accepts debit and credit cards, as well as NFC payments.","Bill's Auto Clinic has been serving the Salem area from its Commercial Street location, providing car repair and maintenance services.","Bill's Auto Clinic is a car repair and maintenance service located at 2 Commercial Street in Salem, Massachusetts. The clinic provides a range of automotive services to the local community. They are open Monday through Friday, accepting various payment methods including debit and credit cards, and NFC payments.","Located at 2 Commercial Street, Bill's Auto Clinic is a full-service car repair shop offering a range of maintenance and repair services. Open Monday through Friday from 8:00 AM to 4:30 PM, they provide essential automotive care to the Salem community. With a commitment to quality service and customer satisfaction, Bill's Auto Clinic is a trusted local business.",,,2026-04-21 16:43:53.507745-04
boston_street_auto_body,Boston Street Auto Body,AUTO_SERVICES,,0,"Located at 165 Boston Street, Boston Street Auto Body is a Salem-based car repair and maintenance service. Offering a range of automotive services, the business is currently operational and provides wheelchair accessible parking for customers. It has been a fixture in the neighborhood, serving the local community's vehicle needs.","Boston Street Auto Body has provided car repair and maintenance services in Salem for many years, and offers wheelchair accessible parking.","Boston Street Auto Body is a car repair and maintenance service located at 165 Boston Street in Salem, Massachusetts. The business offers a range of automotive services to the local community and is currently operational. They provide convenient wheelchair accessible parking for customers.","Boston Street Auto Body, located at 165 Boston Street, is a Salem auto repair shop offering a range of services to keep your vehicle running smoothly. Established at least as early as 2010, the business provides car repair and maintenance, and is committed to accessibility with wheelchair accessible parking available. It remains operational as of today.",,,2026-04-21 16:43:53.507745-04
bouchard_and_son_inc_auto_service,Bouchard & Son Inc Auto Service,AUTO_SERVICES,,0,"Bouchard & Son Inc Auto Service is a long-standing Salem business providing comprehensive car repair and maintenance services. Located at 110 Jefferson Avenue, they have been a trusted neighborhood auto shop for years, offering a full range of services to keep vehicles running smoothly. They are committed to accessibility, with wheelchair-accessible parking and entrance.","Bouchard & Son Inc Auto Service has been serving the Salem community from their Jefferson Avenue location for generations, providing reliable car repair and maintenance.","Bouchard & Son Inc Auto Service is a family-owned and operated business located at 110 Jefferson Avenue in Salem, Massachusetts. They provide a full range of automotive repair and maintenance services, serving the local community with reliable expertise. Dedicated to customer satisfaction and accessibility, Bouchard & Son offers wheelchair-accessible parking and entrance to ensure all customers can easily access their services.","Located at 110 Jefferson Avenue, Bouchard & Son Inc Auto Service is a trusted, family-owned business providing comprehensive car repair and maintenance services to Salem residents. With a commitment to quality and customer satisfaction, they've become a neighborhood staple, offering everything from routine oil changes to more complex automotive repairs. They are open Monday through Friday from 7:00 AM to 4:30 PM and are wheelchair accessible.",,,2026-04-21 16:43:53.507745-04
boxer_motor_works,Boxer Motor Works,AUTO_SERVICES,,0,"Boxer Motor Works is a Salem auto repair shop established by Jason Seidman and Sergio Mequita, both certified Subaru technicians with over a decade of experience. They offer dealership-quality service for all makes and models, with a particular focus on Subaru repairs, at a more affordable price. Known for their transparent approach and skilled workmanship, Boxer Motor Works has earned a reputation as a trusted local mechanic.","Boxer Motor Works, founded by two former Subaru technicians, provides honest and reliable auto repair in Salem, specializing in Subaru service.","Located at 39 Bridge Street, Boxer Motor Works is a Salem auto repair shop built on the expertise of Jason Seidman and Sergio Mequita. Both grew up in Peabody and honed their skills in the Peabody Vocational Automotive Program before spending over ten years as certified technicians at Ira Subaru. Recognizing a need for honest, high-quality auto repair without the typical dealership markup, they opened Boxer Motor Works to provide a more accessible and transparent service experience.\n\nBoxer Motor Works specializes in Subaru repairs, but they are fully equipped to handle maintenance and repairs for all makes and models. Their commitment to honest diagnostics and reliable workmanship has earned them rave reviews from customers and a reputation as one of Salem’s most trusted mechanics.  They’ve been praised for their no-nonsense approach and dedication to providing exceptional service.","Boxer Motor Works, located at 39 Bridge Street, is a Salem auto repair shop founded in 2018 by Jason Seidman and Sergio Mequita. Both former Subaru technicians with over a decade of experience, they built their business on providing dealership-quality service at a more affordable price. They specialize in Subaru repairs but service all makes and models, earning a reputation for honesty and transparency.",,,2026-04-21 16:43:53.507745-04
bridge_auto_group_corp,Bridge Auto Group Corp,AUTO_SERVICES,,0,"Located at 38 Bridge Street, Bridge Auto Group Corp is a full-service car dealership offering a diverse inventory of vehicles. Open six days a week, they provide sales, service, and delivery options to customers throughout Salem and beyond. With a 4.6-star rating, Bridge Auto Group is known for its customer service and accessible facilities, including wheelchair-accessible parking.","Bridge Auto Group Corp has been serving the Salem area from its location on Bridge Street, offering a wide selection of vehicles and convenient services.","Bridge Auto Group Corp is a car dealership located at 38 Bridge Street in Salem, Massachusetts. Offering a wide range of vehicles and services, they have become a trusted resource for drivers in the area. The dealership is open six days a week and provides convenient amenities like delivery and wheelchair-accessible parking, ensuring a comfortable experience for all customers.","Located at 38 Bridge Street in Salem, Bridge Auto Group Corp is a full-service car dealership offering a diverse inventory of vehicles. Open daily except Sunday, they provide sales, service, and delivery options to meet the needs of local drivers. With a 4.6-star rating and a commitment to customer satisfaction, Bridge Auto Group Corp is a trusted name in the Salem automotive market.",,,2026-04-21 16:43:53.507745-04
